Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RNAA.SG01NAC34B0121OOZ,2005.03,4829,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Public Administration and Safety,,
RNAA.SG01NAC34B0121OOZ,2006.03,5362,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Public Administration and Safety,,
RNAA.SG01NAC34B0121OOZ,2007.03,5920,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Public Administration and Safety,,
RNAA.SG01NAC34B0121OOZ,2008.03,6431,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Public Administration and Safety,,
RNAA.SG01NAC34B0121OOZ,2009.03,7087,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Public Administration and Safety,,
RNAA.SG01NAC34B0121OOZ,2010.03,7331,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Public Administration and Safety,,
RNAA.SG01NAC34B0121OOZ,2011.03,7457,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Public Administration and Safety,,
RNAA.SG01NAC34B0121OOZ,2012.03,7609,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Public Administration and Safety,,
RNAA.SG01NAC34B0121OOZ,2013.03,7738,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Public Administration and Safety,,
RNAA.SG01NAC34B0121OOZ,2014.03,7951,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Public Administration and Safety,,
RNAA.SG01NAC34B0121OOZ,2015.03,8301,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Public Administration and Safety,,
RNAA.SG01NAC34B0121OOZ,2016.03,8678,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Public Administration and Safety,,
RNAA.SG01NAC34B0121OOZ,2017.03,9198,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Public Administration and Safety,,
RNAA.SG01NAC34B0121OOZ,2018.03,9667,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Public Administration and Safety,,
RNAA.SG01NAC34B0121OOZ,2019.03,10187,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Public Administration and Safety,,
RNAA.SG01NAC34B0121PP1,2000.03,3599,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Education and Training,,
RNAA.SG01NAC34B0121PP1,2001.03,3772,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Education and Training,,
RNAA.SG01NAC34B0121PP1,2002.03,3884,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Education and Training,,
RNAA.SG01NAC34B0121PP1,2003.03,4192,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Education and Training,,
RNAA.SG01NAC34B0121PP1,2004.03,4587,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Education and Training,,
